immediate_dec,immediate_hex,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
59,0x3B,0x003B,0x003B,0xFFC4,0x0000,0x002F,0x000E,0x003B,0x03B8,0xFED9,0xC000,0x0000,0x4000,0x0000,0x3B00,0x000E,0x0000
60,0x3C,0x003C,0x003C,0xFFC2,0x0000,0x0028,0x000E,0x003C,0x03C6,0xFED4,0x8000,0x0000,0x0000,0x0000,0x3C00,0x000E,0x0000
61,0x3D,0x003D,0x003D,0xFFC2,0x0000,0x0029,0x000E,0x003D,0x03D4,0xFECF,0x4000,0x0000,0xC000,0x0000,0x3D00,0x000E,0x0000
62,0x3E,0x003E,0x003E,0xFFC0,0x0000,0x002A,0x000E,0x003E,0x03E2,0xFECA,0x0000,0x0000,0x8000,0x0000,0x3E00,0x000E,0x0000
63,0x3F,0x003F,0x003F,0xFFC0,0x0000,0x002B,0x000E,0x003F,0x03F0,0xFEC5,0xC000,0x0000,0x4000,0x0000,0x3F00,0x000E,0x0000
64,0x40,0x0040,0x0040,0xFFAE,0x0000,0x0054,0x000E,0x0040,0x03FE,0xFEC0,0x8000,0x0000,0x0000,0x0000,0x4000,0x000E,0x0000
65,0x41,0x0041,0x0041,0xFFAE,0x0000,0x0055,0x000E,0x0041,0x040C,0xFEBB,0x4000,0x0000,0xC000,0x0000,0x4100,0x000E,0x0000
66,0x42,0x0042,0x0042,0xFFAC,0x0000,0x0056,0x000E,0x0042,0x041A,0xFEB6,0x0000,0x0000,0x8000,0x0000,0x4200,0x000E,0x0000
67,0x43,0x0043,0x0043,0xFFAC,0x0000,0x0057,0x000E,0x0043,0x0428,0xFEB1,0xC000,0x0000,0x4000,0x0000,0x4300,0x000E,0x0000
68,0x44,0x0044,0x0044,0xFFAA,0x0000,0x0050,0x000E,0x0044,0x0436,0xFEAC,0x8000,0x0000,0x0000,0x0000,0x4400,0x000E,0x0000
69,0x45,0x0045,0x0045,0xFFAA,0x0000,0x0051,0x000E,0x0045,0x0444,0xFEA7,0x4000,0x0000,0xC000,0x0000,0x4500,0x000E,0x0000
70,0x46,0x0046,0x0046,0xFFA8,0x0000,0x0052,0x000E,0x0046,0x0452,0xFEA2,0x0000,0x0000,0x8000,0x0000,0x4600,0x000E,0x0000
71,0x47,0x0047,0x0047,0xFFA8,0x0000,0x0053,0x000E,0x0047,0x0460,0xFE9D,0xC000,0x0000,0x4000,0x0000,0x4700,0x000E,0x0000
72,0x48,0x0048,0x0048,0xFFA6,0x0000,0x005C,0x000E,0x0048,0x046E,0xFE98,0x8000,0x0000,0x0000,0x0000,0x4800,0x000E,0x0000
73,0x49,0x0049,0x0049,0xFFA6,0x0000,0x005D,0x000E,0x0049,0x047C,0xFE93,0x4000,0x0000,0xC000,0x0000,0x4900,0x000E,0x0000
74,0x4A,0x004A,0x004A,0xFFA4,0x0000,0x005E,0x000E,0x004A,0x048A,0xFE8E,0x0000,0x0000,0x8000,0x0000,0x4A00,0x000E,0x0000
75,0x4B,0x004B,0x004B,0xFFA4,0x0000,0x005F,0x000E,0x004B,0x0498,0xFE89,0xC000,0x0000,0x4000,0x0000,0x4B00,0x000E,0x0000
76,0x4C,0x004C,0x004C,0xFFA2,0x0000,0x0058,0x000E,0x004C,0x04A6,0xFE84,0x8000,0x0000,0x0000,0x0000,0x4C00,0x000E,0x0000
77,0x4D,0x004D,0x004D,0xFFA2,0x0000,0x0059,0x000E,0x004D,0x04B4,0xFE7F,0x4000,0x0000,0xC000,0x0000,0x4D00,0x000E,0x0000
78,0x4E,0x004E,0x004E,0xFFA0,0x0000,0x005A,0x000E,0x004E,0x04C2,0xFE7A,0x0000,0x0000,0x8000,0x0000,0x4E00,0x000E,0x0000
79,0x4F,0x004F,0x004F,0xFFA0,0x0000,0x005B,0x000E,0x004F,0x04D0,0xFE75,0xC000,0x0000,0x4000,0x0000,0x4F00,0x000E,0x0000
80,0x50,0x0050,0x0050,0xFFAE,0x0000,0x0044,0x000E,0x0050,0x04DE,0xFE70,0x8000,0x0000,0x0000,0x0000,0x5000,0x000E,0x0000
81,0x51,0x0051,0x0051,0xFFAE,0x0000,0x0045,0x000E,0x0051,0x04EC,0xFE6B,0x4000,0x0000,0xC000,0x0000,0x5100,0x000E,0x0000
82,0x52,0x0052,0x0052,0xFFAC,0x0000,0x0046,0x000E,0x0052,0x04FA,0xFE66,0x0000,0x0000,0x8000,0x0000,0x5200,0x000E,0x0000
83,0x53,0x0053,0x0053,0xFFAC,0x0000,0x0047,0x000E,0x0053,0x0508,0xFE61,0xC000,0x0000,0x4000,0x0000,0x5300,0x000E,0x0000
84,0x54,0x0054,0x0054,0xFFAA,0x0000,0x0040,0x000E,0x0054,0x0516,0xFE5C,0x8000,0x0000,0x0000,0x0000,0x5400,0x000E,0x0000
85,0x55,0x0055,0x0055,0xFFAA,0x0000,0x0041,0x000E,0x0055,0x0524,0xFE57,0x4000,0x0000,0xC000,0x0000,0x5500,0x000E,0x0000
86,0x56,0x0056,0x0056,0xFFA8,0x0000,0x0042,0x000E,0x0056,0x0532,0xFE52,0x0000,0x0000,0x8000,0x0000,0x5600,0x000E,0x0000
87,0x57,0x0057,0x0057,0xFFA8,0x0000,0x0043,0x000E,0x0057,0x0540,0xFE4D,0xC000,0x0000,0x4000,0x0000,0x5700,0x000E,0x0000
88,0x58,0x0058,0x0058,0xFFA6,0x0000,0x004C,0x000E,0x0058,0x054E,0xFE48,0x8000,0x0000,0x0000,0x0000,0x5800,0x000E,0x0000
89,0x59,0x0059,0x0059,0xFFA6,0x0000,0x004D,0x000E,0x0059,0x055C,0xFE43,0x4000,0x0000,0xC000,0x0000,0x5900,0x000E,0x0000
90,0x5A,0x005A,0x005A,0xFFA4,0x0000,0x004E,0x000E,0x005A,0x056A,0xFE3E,0x0000,0x0000,0x8000,0x0000,0x5A00,0x000E,0x0000
91,0x5B,0x005B,0x005B,0xFFA4,0x0000,0x004F,0x000E,0x005B,0x0578,0xFE39,0xC000,0x0000,0x4000,0x0000,0x5B00,0x000E,0x0000
92,0x5C,0x005C,0x005C,0xFFA2,0x0000,0x0048,0x000E,0x005C,0x0586,0xFE34,0x8000,0x0000,0x0000,0x0000,0x5C00,0x000E,0x0000
93,0x5D,0x005D,0x005D,0xFFA2,0x0000,0x0049,0x000E,0x005D,0x0594,0xFE2F,0x4000,0x0000,0xC000,0x0000,0x5D00,0x000E,0x0000
94,0x5E,0x005E,0x005E,0xFFA0,0x0000,0x004A,0x000E,0x005E,0x05A2,0xFE2A,0x0000,0x0000,0x8000,0x0000,0x5E00,0x000E,0x0000
95,0x5F,0x005F,0x005F,0xFFA0,0x0000,0x004B,0x000E,0x005F,0x05B0,0xFE25,0xC000,0x0000,0x4000,0x0000,0x5F00,0x000E,0x0000
96,0x60,0x0060,0x0060,0xFF8E,0x0000,0x0074,0x000E,0x0060,0x05BE,0xFE20,0x8000,0x0000,0x0000,0x0000,0x6000,0x000E,0x0000
97,0x61,0x0061,0x0061,0xFF8E,0x0000,0x0075,0x000E,0x0061,0x05CC,0xFE1B,0x4000,0x0000,0xC000,0x0000,0x6100,0x000E,0x0000
98,0x62,0x0062,0x0062,0xFF8C,0x0000,0x0076,0x000E,0x0062,0x05DA,0xFE16,0x0000,0x0000,0x8000,0x0000,0x6200,0x000E,0x0000
99,0x63,0x0063,0x0063,0xFF8C,0x0000,0x0077,0x000E,0x0063,0x05E8,0xFE11,0xC000,0x0000,0x4000,0x0000,0x6300,0x000E,0x0000
100,0x64,0x0064,0x0064,0xFF8A,0x0000,0x0070,0x000E,0x0064,0x05F6,0xFE0C,0x8000,0x0000,0x0000,0x0000,0x6400,0x000E,0x0000
101,0x65,0x0065,0x0065,0xFF8A,0x0000,0x0071,0x000E,0x0065,0x0604,0xFE07,0x4000,0x0000,0xC000,0x0000,0x6500,0x000E,0x0000
102,0x66,0x0066,0x0066,0xFF88,0x0000,0x0072,0x000E,0x0066,0x0612,0xFE02,0x0000,0x0000,0x8000,0x0000,0x6600,0x000E,0x0000
103,0x67,0x0067,0x0067,0xFF88,0x0000,0x0073,0x000E,0x0067,0x0620,0xFDFD,0xC000,0x0000,0x4000,0x0000,0x6700,0x000E,0x0000
104,0x68,0x0068,0x0068,0xFF86,0x0000,0x007C,0x000E,0x0068,0x062E,0xFDF8,0x8000,0x0000,0x0000,0x0000,0x6800,0x000E,0x0000
105,0x69,0x0069,0x0069,0xFF86,0x0000,0x007D,0x000E,0x0069,0x063C,0xFDF3,0x4000,0x0000,0xC000,0x0000,0x6900,0x000E,0x0000
106,0x6A,0x006A,0x006A,0xFF84,0x0000,0x007E,0x000E,0x006A,0x064A,0xFDEE,0x0000,0x0000,0x8000,0x0000,0x6A00,0x000E,0x0000
107,0x6B,0x006B,0x006B,0xFF84,0x0000,0x007F,0x000E,0x006B,0x0658,0xFDE9,0xC000,0x0000,0x4000,0x0000,0x6B00,0x000E,0x0000
108,0x6C,0x006C,0x006C,0xFF82,0x0000,0x0078,0x000E,0x006C,0x0666,0xFDE4,0x8000,0x0000,0x0000,0x0000,0x6C00,0x000E,0x0000
109,0x6D,0x006D,0x006D,0xFF82,0x0000,0x0079,0x000E,0x006D,0x0674,0xFDDF,0x4000,0x0000,0xC000,0x0000,0x6D00,0x000E,0x0000
110,0x6E,0x006E,0x006E,0xFF80,0x0000,0x007A,0x000E,0x006E,0x0682,0xFDDA,0x0000,0x0000,0x8000,0x0000,0x6E00,0x000E,0x0000
111,0x6F,0x006F,0x006F,0xFF80,0x0000,0x007B,0x000E,0x006F,0x0690,0xFDD5,0xC000,0x0000,0x4000,0x0000,0x6F00,0x000E,0x0000
112,0x70,0x0070,0x0070,0xFF8E,0x0000,0x0064,0x000E,0x0070,0x069E,0xFDD0,0x8000,0x0000,0x0000,0x0000,0x7000,0x000E,0x0000
113,0x71,0x0071,0x0071,0xFF8E,0x0000,0x0065,0x000E,0x0071,0x06AC,0xFDCB,0x4000,0x0000,0xC000,0x0000,0x7100,0x000E,0x0000
114,0x72,0x0072,0x0072,0xFF8C,0x0000,0x0066,0x000E,0x0072,0x06BA,0xFDC6,0x0000,0x0000,0x8000,0x0000,0x7200,0x000E,0x0000
115,0x73,0x0073,0x0073,0xFF8C,0x0000,0x0067,0x000E,0x0073,0x06C8,0xFDC1,0xC000,0x0000,0x4000,0x0000,0x7300,0x000E,0x0000
116,0x74,0x0074,0x0074,0xFF8A,0x0000,0x0060,0x000E,0x0074,0x06D6,0xFDBC,0x8000,0x0000,0x0000,0x0000,0x7400,0x000E,0x0000
117,0x75,0x0075,0x0075,0xFF8A,0x0000,0x0061,0x000E,0x0075,0x06E4,0xFDB7,0x4000,0x0000,0xC000,0x0000,0x7500,0x000E,0x0000
118,0x76,0x0076,0x0076,0xFF88,0x0000,0x0062,0x000E,0x0076,0x06F2,0xFDB2,0x0000,0x0000,0x8000,0x0000,0x7600,0x000E,0x0000
119,0x77,0x0077,0x0077,0xFF88,0x0000,0x0063,0x000E,0x0077,0x0700,0xFDAD,0xC000,0x0000,0x4000,0x0000,0x7700,0x000E,0x0000
120,0x78,0x0078,0x0078,0xFF86,0x0000,0x006C,0x000E,0x0078,0x070E,0xFDA8,0x8000,0x0000,0x0000,0x0000,0x7800,0x000E,0x0000
121,0x79,0x0079,0x0079,0xFF86,0x0000,0x006D,0x000E,0x0079,0x071C,0xFDA3,0x4000,0x0000,0xC000,0x0000,0x7900,0x000E,0x0000
122,0x7A,0x007A,0x007A,0xFF84,0x0000,0x006E,0x000E,0x007A,0x072A,0xFD9E,0x0000,0x0000,0x8000,0x0000,0x7A00,0x000E,0x0000
123,0x7B,0x007B,0x007B,0xFF84,0x0000,0x006F,0x000E,0x007B,0x0738,0xFD99,0xC000,0x0000,0x4000,0x0000,0x7B00,0x000E,0x0000
124,0x7C,0x007C,0x007C,0xFF82,0x0000,0x0068,0x000E,0x007C,0x0746,0xFD94,0x8000,0x0000,0x0000,0x0000,0x7C00,0x000E,0x0000
125,0x7D,0x007D,0x007D,0xFF82,0x0000,0x0069,0x000E,0x007D,0x0754,0xFD8F,0x4000,0x0000,0xC000,0x0000,0x7D00,0x000E,0x0000
126,0x7E,0x007E,0x007E,0xFF80,0x0000,0x006A,0x000E,0x007E,0x0762,0xFD8A,0x0000,0x0000,0x8000,0x0000,0x7E00,0x000E,0x0000
127,0x7F,0x007F,0x007F,0xFF80,0x0000,0x006B,0x000E,0x007F,0x0770,0xFD85,0xC000,0x0000,0x4000,0x0000,0x7F00,0x000E,0x0000
128,0x80,0xFF80,0x0080,0xFF6E,0x0000,0x0094,0x000E,0xFF80,0x077E,0x0280,0x8000,0x0000,0x0000,0xFFFF,0x8000,0x000E,0x0000
129,0x81,0xFF81,0x0081,0xFF6E,0x0000,0x0095,0x000E,0xFF81,0x078C,0x027B,0x4000,0x0000,0xC000,0xFFFF,0x8100,0x000E,0x0000
130,0x82,0xFF82,0x0082,0xFF6C,0x0000,0x0096,0x000E,0xFF82,0x079A,0x0276,0x0000,0x0000,0x8000,0xFFFF,0x8200,0x000E,0x0000
131,0x83,0xFF83,0x0083,0xFF6C,0x0000,0x0097,0x000E,0xFF83,0x07A8,0x0271,0xC000,0x0000,0x4000,0xFFFF,0x8300,0x000E,0x0000
132,0x84,0xFF84,0x0084,0xFF6A,0x0000,0x0090,0x000E,0xFF84,0x07B6,0x026C,0x8000,0x0000,0x0000,0xFFFF,0x8400,0x000E,0x0000
133,0x85,0xFF85,0x0085,0xFF6A,0x0000,0x0091,0x000E,0xFF85,0x07C4,0x0267,0x4000,0x0000,0xC000,0xFFFF,0x8500,0x000E,0x0000
134,0x86,0xFF86,0x0086,0xFF68,0x0000,0x0092,0x000E,0xFF86,0x07D2,0x0262,0x0000,0x0000,0x8000,0xFFFF,0x8600,0x000E,0x0000
135,0x87,0xFF87,0x0087,0xFF68,0x0000,0x0093,0x000E,0xFF87,0x07E0,0x025D,0xC000,0x0000,0x4000,0xFFFF,0x8700,0x000E,0x0000
136,0x88,0xFF88,0x0088,0xFF66,0x0000,0x009C,0x000E,0xFF88,0x07EE,0x0258,0x8000,0x0000,0x0000,0xFFFF,0x8800,0x000E,0x0000
137,0x89,0xFF89,0x0089,0xFF66,0x0000,0x009D,0x000E,0xFF89,0x07FC,0x0253,0x4000,0x0000,0xC000,0xFFFF,0x8900,0x000E,0x0000
138,0x8A,0xFF8A,0x008A,0xFF64,0x0000,0x009E,0x000E,0xFF8A,0x080A,0x024E,0x0000,0x0000,0x8000,0xFFFF,0x8A00,0x000E,0x0000
139,0x8B,0xFF8B,0x008B,0xFF64,0x0000,0x009F,0x000E,0xFF8B,0x0818,0x0249,0xC000,0x0000,0x4000,0xFFFF,0x8B00,0x000E,0x0000
140,0x8C,0xFF8C,0x008C,0xFF62,0x0000,0x0098,0x000E,0xFF8C,0x0826,0x0244,0x8000,0x0000,0x0000,0xFFFF,0x8C00,0x000E,0x0000
141,0x8D,0xFF8D,0x008D,0xFF62,0x0000,0x0099,0x000E,0xFF8D,0x0834,0x023F,0x4000,0x0000,0xC000,0xFFFF,0x8D00,0x000E,0x0000
142,0x8E,0xFF8E,0x008E,0xFF60,0x0000,0x009A,0x000E,0xFF8E,0x0842,0x023A,0x0000,0x0000,0x8000,0xFFFF,0x8E00,0x000E,0x0000
143,0x8F,0xFF8F,0x008F,0xFF60,0x0000,0x009B,0x000E,0xFF8F,0x0850,0x0235,0xC000,0x0000,0x4000,0xFFFF,0x8F00,0x000E,0x0000
144,0x90,0xFF90,0x0090,0xFF6E,0x0000,0x0084,0x000E,0xFF90,0x085E,0x0230,0x8000,0x0000,0x0000,0xFFFF,0x9000,0x000E,0x0000
145,0x91,0xFF91,0x0091,0xFF6E,0x0000,0x0085,0x000E,0xFF91,0x086C,0x022B,0x4000,0x0000,0xC000,0xFFFF,0x9100,0x000E,0x0000
146,0x92,0xFF92,0x0092,0xFF6C,0x0000,0x0086,0x000E,0xFF92,0x087A,0x0226,0x0000,0x0000,0x8000,0xFFFF,0x9200,0x000E,0x0000
147,0x93,0xFF93,0x0093,0xFF6C,0x0000,0x0087,0x000E,0xFF93,0x0888,0x0221,0xC000,0x0000,0x4000,0xFFFF,0x9300,0x000E,0x0000
148,0x94,0xFF94,0x0094,0xFF6A,0x0000,0x0080,0x000E,0xFF94,0x0896,0x021C,0x8000,0x0000,0x0000,0xFFFF,0x9400,0x000E,0x0000
149,0x95,0xFF95,0x0095,0xFF6A,0x0000,0x0081,0x000E,0xFF95,0x08A4,0x0217,0x4000,0x0000,0xC000,0xFFFF,0x9500,0x000E,0x0000
150,0x96,0xFF96,0x0096,0xFF68,0x0000,0x0082,0x000E,0xFF96,0x08B2,0x0212,0x0000,0x0000,0x8000,0xFFFF,0x9600,0x000E,0x0000
151,0x97,0xFF97,0x0097,0xFF68,0x0000,0x0083,0x000E,0xFF97,0x08C0,0x020D,0xC000,0x0000,0x4000,0xFFFF,0x9700,0x000E,0x0000
